# time	E	J /n#
151.0	68123246.1121	4663417050.4723
152.0	67458145.2566	7631335234.1866
153.0	49632086.0164	-1309522904.4702
154.0	94514402.2614	2609897963.2832
155.0	48932289.5022	6055151112.0918
156.0	49616305.1848	1990100478.4446
157.0	55249583.8435	-2093881164.4017
158.0	70577722.3406	8544909908.2906
159.0	41505758.2074	1650499762.4036
160.0	42157750.8087	-1216652024.2510
161.0	115752320.9346	8549235891.3206
162.0	66216919.2681	6145598831.6311
163.0	55442845.5814	-3658948039.9530
164.0	71185670.9921	1513340795.7470
165.0	59411336.4441	6094206506.7185
166.0	58549073.4688	129974511.6313
167.0	76313135.7691	-3230046745.5101
168.0	149875959.1653	19565652737.7929
169.0	64129722.2278	5496262579.3206
170.0	53416926.1264	-1969274290.4992
171.0	143992239.1588	11078022430.5601
172.0	49676833.7240	2486648797.9098
173.0	57676722.3852	-3282455453.8091
174.0	73418677.1089	1309306049.3816
175.0	60481976.2994	5716432083.8761
176.0	38767621.7752	-1006319933.7719
177.0	63513376.5586	-1679047627.3554
178.0	76919241.3589	11179389482.9460
179.0	52418930.1096	1610653866.4530
180.0	52554888.0295	-2988777715.2787
181.0	51813008.8608	3703452885.2050
182.0	60826224.5016	4323767165.8793
183.0	67545762.7084	-6550433483.2286
184.0	60844280.9731	2579126412.6112
185.0	66284094.4606	8555605588.3897
186.0	49119454.9821	-2945477916.9547
187.0	98666149.1939	793595553.3320
188.0	113741139.4420	14078099302.1947
189.0	73141578.6355	-1902890714.8851
190.0	54801214.0201	-2429535424.9510
191.0	59961450.0947	4347298179.3506
192.0	64232601.2844	3686411809.9332
193.0	64740211.8685	-3790227819.4479
194.0	107144475.2542	6569122825.2212
195.0	50265888.5684	3538566459.3725
196.0	46270971.9521	-2785815098.9307
197.0	68675405.3678	1625469899.3108
198.0	41213108.7239	2758799570.5497
199.0	62808954.0370	-3849124205.2302
200.0	128391602.2968	-169013372.1412
201.0	64820213.1679	5869875900.5225
202.0	59389769.0447	861651903.8817
203.0	54437256.0714	-2514077157.5141
204.0	59015939.1094	4144552433.7147
205.0	67950326.4891	5729338313.2410
206.0	58635984.4156	-3956903198.7268
207.0	76332678.0689	4245816522.4868
208.0	52505432.2207	5143610093.9905
209.0	40155253.0461	-2257336431.4746
210.0	69044227.1081	2007371409.0873
211.0	39124788.4614	2938235552.4705
212.0	55005177.9483	-3098218166.3304
213.0	52166179.5696	-563773429.5943
214.0	44953110.3415	3253139282.7042
215.0	57622947.6647	1728680247.8675
216.0	53408278.8251	-794742772.4468
217.0	38169459.6626	2978724402.4201
218.0	48162288.9403	1524873384.4885
219.0	39061515.5555	-1097520609.6144
220.0	136933131.2167	7860554696.6960
221.0	37396026.6996	1845753070.7222
222.0	61818396.9678	-4860764191.7686
223.0	58807514.4945	1951354442.0151
224.0	50194142.5599	5020217918.0282
225.0	37585349.7150	-978612793.2918
226.0	71800633.8677	-1459395023.3339
227.0	80514931.6082	8124689841.4581
228.0	64209962.0871	2004063132.1735
229.0	79318779.3922	-2216365558.1940
230.0	45470816.5363	3723236215.3052
231.0	69604504.1209	5232330014.8821
232.0	42292109.3792	-1012051569.6459
233.0	51620496.0757	2598332114.4446
234.0	53000624.9224	3350984159.1601
235.0	56258897.1915	-2839891796.2629
236.0	45276466.3764	1521235814.3891
237.0	71346805.7795	7906076779.1060
238.0	57478319.7560	-1956623762.8676
239.0	89344563.7119	-414127581.6841
240.0	57285416.9850	5642357056.9564
241.0	40906941.1817	-234685767.2387
242.0	71018090.4767	-1384553997.1917
243.0	133319560.4062	13269560723.2541
244.0	56599452.3480	2097558593.8023
245.0	92765611.9777	-5474702500.8816
246.0	53821193.0197	2580403632.7969
247.0	83308303.4615	7780619014.4209
248.0	58855428.5458	-3122533037.2466
249.0	71312234.4100	2542042452.0012
250.0	62167309.3062	4521425104.0022
251.0	58761374.7785	-2406007300.9926
252.0	97480010.1761	595192554.5098
253.0	63075339.1794	4078224507.9126
254.0	79139863.1052	-2613010102.5163
255.0	123426681.3294	-2263007477.7814
256.0	92179337.7096	7375746103.5275
257.0	62809879.3066	202014674.0790
258.0	63340618.1247	-1560574648.8435
259.0	113985643.9117	7264637918.0465
260.0	76176146.9630	4122506033.7924
261.0	78687278.2482	-4060143425.9384
262.0	76699781.7664	3244360422.4824
263.0	71026508.0043	6589728624.5911
264.0	70704017.0311	-3668279577.6091
265.0	99953979.7473	1009984542.1567
266.0	84053809.2315	6057523240.6833
267.0	63430710.3940	-1487233085.8878
268.0	133638005.9747	-2430476805.9019
269.0	115219921.1494	9563011882.3808
270.0	62536273.4560	546931233.1423
271.0	111924732.1647	-5391060720.0840
272.0	98388189.5895	7632382681.8490
273.0	98742939.2032	6965169028.9201
274.0	92942844.2940	-5553442161.5634
275.0	109022402.6691	4396554961.1031
276.0	84225950.9503	8334555520.3774
277.0	86624453.1360	-5661133789.4704
278.0	146132287.6136	1473489427.1301
279.0	123614950.8646	13260764002.3036
280.0	85457177.7201	-3299049180.8764
281.0	123735028.3084	-4460765083.9694
282.0	115333468.0467	11842175373.6893
283.0	100665662.7196	1071194487.9061
284.0	102276771.8617	-5281148692.3917
285.0	155220322.8389	10056819240.9920
286.0	97728215.5492	5618341645.6876
287.0	91790847.4843	-5987424822.8446
288.0	186932534.9739	6860316420.7948
289.0	130120243.5618	14800187723.0260
290.0	96407152.5729	-6463972424.3874
291.0	126255502.9767	58566513.8655
292.0	149509364.4168	15105395946.5276
293.0	103884830.3229	-3557435761.0461
294.0	174122977.8096	-7674515638.3919
295.0	124423873.7271	10369450082.5137
296.0	108943903.8235	3503900633.9424
297.0	154734381.6764	-12584189970.8858
298.0	126811982.7267	7817494160.6251
299.0	132240054.8756	11492756423.5922
300.0	107749506.9717	-7589496967.9256
301.0	150491053.8286	4491652531.6823
302.0	123323045.1208	11329902677.8107
303.0	108498773.8054	-8816273215.6376
304.0	173634417.1021	-2695255165.1243
305.0	117875716.9624	11496445444.2301
306.0	112200495.0738	-5702977721.2563
307.0	165597350.5021	-8717533423.7098
308.0	135188215.0222	11176760787.9355
309.0	93342098.4337	1415293589.5363
310.0	174287217.1848	-14219731370.1616
311.0	143395617.3475	7056529413.1421
312.0	138871138.4082	12563446750.2190
313.0	149747127.6008	-15355537260.4528
314.0	250463106.8507	3562640502.8065
315.0	126297253.3859	12486280811.0039
316.0	99395320.1158	-7101372414.2808
317.0	208768285.4791	-5740452759.1915
318.0	177299674.3311	19562137238.3030
319.0	97790770.3993	-2664185959.4250
320.0	213781778.8531	-15013122661.9229
321.0	226323146.3222	18007817027.6617
322.0	91131507.4955	366881894.6784
323.0	218783124.1274	-22383609728.9888
324.0	185343369.1218	7366035035.5194
325.0	93378186.2538	5629801471.6176
326.0	102987037.7594	-8553591739.9241
327.0	155843929.7730	624174126.1463
328.0	159296067.7344	16323700904.0953
329.0	103169945.1833	-7775521588.8886
330.0	249670992.5524	-10182241329.1689
331.0	112422841.0741	8748651135.6679
332.0	103443103.7738	-3819456109.6423
333.0	183412051.8519	-12737824166.3779
334.0	183771966.8875	10474263045.5930
335.0	108919018.9014	2211560587.3418
336.0	124447470.1365	-10446764728.3185
337.0	203485910.6086	4435134191.6088
338.0	145991175.3994	10710355695.9387
339.0	110663854.2614	-10462168731.1447
340.0	240428425.7409	-4638268977.1711
341.0	127468080.0765	10782052878.9427
342.0	123996457.7253	-9324663796.3899
343.0	239489472.0037	-14557706660.0757
344.0	153762299.4069	11011123330.7730
345.0	112038666.7587	-1942238651.0720
346.0	156764740.8668	-11717539481.3884
347.0	195668256.8766	8260228688.1965
348.0	128134210.0369	7189420107.2578
349.0	167902335.7629	-19059831731.7645
350.0	192442009.3833	2228017270.5373
351.0	106965580.7715	6249506318.7150
352.0	117139436.2181	-10607577272.9260
353.0	170324027.2189	-3481227363.6286
354.0	188595857.9929	17415407460.3619
355.0	110448341.8086	-6275129833.5732
356.0	162953020.4303	-8746066241.5592
357.0	188038096.4551	11653098857.7849
358.0	109612288.5980	-2283671961.1072
359.0	134053858.4494	-10190566835.2634
360.0	135893620.2984	4140678110.7069
361.0	107730876.4288	4008190033.2059
362.0	195850717.5864	-24682759548.8390
363.0	127616478.6964	274401127.0068
364.0	150037322.0940	12304207541.9166
365.0	112124262.2329	-9841998671.9362
366.0	147718534.7540	-6461230382.2717
367.0	131175750.1659	8182851499.0543
368.0	87281675.1586	-4964997530.1713
369.0	132923327.7198	-10131945684.1337
370.0	109591694.9700	4994808810.0590
371.0	115127981.3339	877536409.3753
372.0	148813893.6848	-15639413911.2502
373.0	137942678.8336	2423450061.0325
374.0	132074805.3117	7817554183.1289
375.0	160951073.1846	-18561178760.2214
376.0	142588179.6218	-3633962825.2155
377.0	133065173.6181	8279057649.5810
378.0	77132184.4112	-5048610636.3540
379.0	118634491.5310	-3786655351.3054
380.0	112267465.2918	6314729587.3437
381.0	92967046.5098	-5997767451.1735
382.0	172864966.7875	-14510452964.5076
383.0	157181289.2568	4412154738.5987
384.0	66899157.9021	-521465364.1333
385.0	104851192.2696	-7359505946.4663
386.0	214831255.6875	229260071.6576
387.0	75781588.0454	863587688.3259
388.0	107918819.0815	-10154277351.8273
389.0	256751643.0924	-9283341265.1830
390.0	113195867.4252	6376990735.1859
391.0	82265245.3781	-5517811531.0463
392.0	164177543.2089	-9215878234.8582
393.0	80957067.7243	2510760401.0773
394.0	76494805.3135	-3293085167.7117
395.0	93640176.9817	-5384602821.0100
396.0	180749400.0736	1191516658.8889
397.0	63691135.6872	-434713479.6173
398.0	105758787.9654	-8950696213.6438
399.0	73958610.2182	-660481072.4085
400.0	64584817.6570	1697152537.3689
401.0	105585072.9341	-9307349837.8376
402.0	185052795.6181	-7961635556.7017
403.0	131621309.0787	5123123796.9410
404.0	98483570.2169	-5965264862.8103
405.0	110537062.8413	-4927633184.4549
406.0	59621146.2943	1061514532.2029
407.0	54259038.8606	-1028821308.0348
408.0	91553061.5093	-5802586333.7843
409.0	140714804.3221	-825254458.7017
410.0	98824209.3902	2600630627.8867
411.0	90334682.9648	-6259286795.9259
412.0	74627788.6099	-1102863727.2648
413.0	70118444.6736	2392301537.6741
414.0	71158871.3502	-3245494206.9188
415.0	75767821.4559	-1725309987.6822
416.0	88384587.5004	2232024228.9316
417.0	56687272.8202	-1316987801.3502
418.0	79859383.1121	-2775934352.6629
419.0	69757512.5307	545414208.2143
420.0	54007969.7961	-727141742.7970
421.0	92535667.4747	-3480789102.7918
422.0	123806185.4234	565907798.0990
423.0	81465481.2128	741500607.5317
424.0	81797469.7389	-2071938218.0337
425.0	111641577.5753	75899424.2580
426.0	59245233.7039	1025152726.0568
427.0	69822594.0416	-2318631491.2310
428.0	133471780.0403	97710882.4092
429.0	58009967.7105	581462941.5110
430.0	84929226.4854	-944530218.6272
431.0	114072952.2652	-178755216.8018
432.0	61538614.0769	209976626.9055
433.0	68684561.3780	-721030842.0859
434.0	73493370.2395	-844109817.3536
435.0	72300666.7936	-581621511.9935
436.0	71690719.6303	322596819.6493
437.0	78031193.5122	-960197576.4423
438.0	108532561.4644	-161329046.5993
439.0	85046998.4511	984646696.4010
440.0	83505125.4896	-1150380459.6188
441.0	97327186.5182	2385128069.8330
442.0	81595157.4636	315417441.9358
443.0	80173699.1897	-53932258.3155
444.0	182236766.5583	5781246964.1718
445.0	85352649.3321	719001662.8486
446.0	81383265.9043	-362854631.7867
447.0	105608851.7791	4669373.6709
448.0	138756714.2311	1460065674.7350
449.0	99100382.0123	91323062.9658
450.0	161960146.2618	6069125905.3981
451.0	81957690.6403	1744032421.1122
452.0	102139943.2672	-1557244866.6752
453.0	187024541.4782	3589193418.9622
454.0	172632016.6785	2082995950.0899
455.0	109792483.6647	-822683649.4111
456.0	120184085.6784	821638450.5278
457.0	143958926.2720	4278755434.2770
458.0	140314970.8155	872296236.3014
459.0	125300291.8006	-678958595.2910
460.0	124280787.7746	-894584950.5433
461.0	88399253.8789	-346791725.1191
462.0	147269489.5496	-4312156460.2009
463.0	120880952.1703	-1143508478.0417
464.0	114324927.5630	4754292069.0690
465.0	121985722.7646	-3553393251.5059
466.0	139385375.3800	1336606522.4001
467.0	231805779.8191	7346556357.2924
468.0	110321778.6068	-2334235539.6908
469.0	151653894.1976	-852208311.5152
470.0	150683556.0749	13075732882.2603
471.0	135357768.9216	115253237.8950
472.0	168311980.8718	-3788422634.1118
473.0	249178742.4508	12105040957.7043
474.0	137636919.9159	-1388762255.6207
475.0	157259870.9332	-4289069828.4368
476.0	195906608.8729	2192826726.7218
477.0	172521595.7351	11080458190.7613
478.0	151596358.8695	-3545128007.9239
479.0	268238771.6234	4213502197.5162
480.0	201054783.5386	15197132383.6522
481.0	141973204.6654	-3150180670.9179
482.0	189405991.7519	-241882301.8495
483.0	207214272.7206	5478714207.4675
484.0	164961331.2127	-827194142.9362
485.0	184650388.0549	-2149289323.1601
486.0	209029363.4091	5597979616.7074
487.0	176240043.7729	3975311797.9960
488.0	234129285.7946	-8481247869.2339
489.0	203514461.5791	7910273007.1289
490.0	151854039.8384	765273581.6283
491.0	182842038.0106	-7339114724.3460
492.0	279376964.2646	7991349294.0326
493.0	158098716.8212	-2968276202.1563
494.0	201184918.2964	-13233662803.1575
495.0	275810764.1457	1982561980.2712
496.0	212834045.4155	8285999435.2603
497.0	152338944.5378	-3439904338.8001
498.0	245478740.1839	-1872884663.1322
499.0	293306859.1011	4676408071.7928
500.0	210492408.8770	5410366332.2080
501.0	264223291.1632	-8904762439.4315
502.0	410634224.8080	15718706060.2864
503.0	164083935.9102	-5621207399.2641
504.0	235963039.4233	-9544897396.0294
505.0	391450637.0765	5528313106.3558
506.0	158982869.3322	5824281320.2198
507.0	192819344.0710	-6637235630.2565
508.0	297106230.9605	-2319883237.8664
509.0	351738972.4266	22184696903.6897
510.0	215239637.2645	-12338878304.2646
511.0	254040484.6403	-3509990702.6656
512.0	345666604.2452	5477078569.2111
513.0	172177538.1379	-9957492362.9023
514.0	193753674.4884	-4306808770.2852
515.0	253538550.8493	408933154.2723
516.0	179276667.4238	-15085407538.3130
517.0	263425612.4522	-14355575168.1721
518.0	388275754.7271	1663112221.7995
519.0	207708839.2703	-9419111533.4145
520.0	230093232.1408	-12090662148.8870
521.0	389431954.6697	-675012075.6303
522.0	306937243.5806	5432351055.3141
523.0	239781022.9374	-3657847323.4372
524.0	344454208.7537	-5130752121.2240
525.0	340704863.2082	15512141173.5793
526.0	225210579.2480	-10253163302.9390
527.0	311161365.9108	-9008641554.3286
528.0	316268105.9767	8569228020.3386
529.0	238286935.3989	-3666774880.7103
530.0	359485093.7022	-20800441151.8987
531.0	274573744.7135	1900403708.7218
532.0	288901888.5275	14895277559.2120
533.0	367041616.4194	-21931958558.7184
534.0	463835967.0266	5757326366.1430
535.0	251189040.0893	10302720070.0018
536.0	276767039.1900	-5817913746.9006
537.0	403932675.7527	662664000.5078
538.0	413324286.7215	24016606773.3464
539.0	231340912.4045	-10780500091.4810
540.0	402523422.4439	-5147494274.0679
541.0	359656286.3479	14544906512.5408
542.0	256819005.7677	-8077927846.0520
543.0	364399340.0955	-10511708120.0565
544.0	503847867.1524	21464699145.9991
545.0	248381020.0069	3616805164.0399
546.0	299674911.3880	-7083511636.2210
547.0	501676102.5947	6358183673.7713
548.0	295006870.4965	20120067783.4972
549.0	265805258.9242	-6409217918.5266
550.0	467082706.3501	2020180134.0296
551.0	250541328.6684	5624178554.2126
552.0	286112592.7061	-6288253445.1332
553.0	348833004.8269	-1234566050.6454
554.0	417517749.7102	13427037801.9707
555.0	235739105.6119	-4967333027.8325
556.0	352952708.6198	-8909544043.3563
557.0	288862781.0054	3053944522.9744
558.0	332027382.4333	7016769696.0422
559.0	289904158.3310	-13239086810.1117
560.0	292487016.6184	3282458428.8129
561.0	389054488.9456	14186522489.8807
562.0	253554257.0430	-6412243104.4593
563.0	341226123.0087	3257924721.6119
564.0	331502239.8763	-195415461.6788
565.0	271337795.7355	-10778436238.3832
566.0	424563467.5789	79762935.4563
567.0	467641912.9104	17047834789.7906
568.0	282391608.1493	-883558839.4593
569.0	251864146.4969	-3400936743.7921
570.0	516403876.3314	26054404839.8393
571.0	251225280.7139	-2072844634.9496
572.0	297510992.4612	-5631860515.8742
573.0	503611790.8682	21030440668.2450
574.0	248120743.6034	2625031577.6599
575.0	339124024.6183	-18163976696.8023
576.0	422196109.0922	9909915341.1001
577.0	250230473.5030	12261265953.6952
578.0	278774680.1273	-3133166778.3695
579.0	385391278.0563	6441270836.9723
580.0	407859158.6019	20403087853.5647
581.0	228929250.5840	-5750037682.1577
582.0	280295861.3956	-1416807720.1089
583.0	285987786.0414	4040999588.9265
584.0	298980999.3434	10308416738.2991
585.0	349380263.4053	-4455226673.9551
586.0	268927841.0348	8503611946.3623
587.0	236220070.1205	4173818751.9106
588.0	257416546.0911	-5554399049.7315
589.0	365681580.8666	9161389894.2129
590.0	440214089.9761	14351931243.6486
591.0	224327838.8346	-5791388047.4091
592.0	456122188.7732	8911655778.4313
593.0	231246008.6490	620163209.4731
594.0	232780226.1893	-5336185675.8928
595.0	277853256.4879	699633554.0199
596.0	310338878.5425	8440888980.0044
597.0	266576744.7887	-6805116409.4539
598.0	272826380.1532	-5054349080.3919
599.0	205222989.7858	3716191692.2661
600.0	195817431.6901	-3339801669.2360
601.0	241082029.0548	-6745998790.0217
602.0	292962179.4698	9900751418.5453
603.0	190792583.0156	-1363804517.3190
604.0	215022785.6361	-7066798130.6083
605.0	319863417.3229	8403931327.6635
606.0	246916973.5719	14108055291.8389
607.0	235366284.5866	-14008693696.1579
608.0	212765299.5192	3574719633.1302
609.0	226088735.1220	7803724694.6641
610.0	191782802.5621	-2424455192.1953
611.0	263816767.3233	641212680.0991
612.0	232774371.2454	7271160861.5529
613.0	265026095.3555	12916857112.9977
614.0	256466405.2058	1934683554.6174
615.0	388518811.8098	28987348256.3363
616.0	175139312.2595	3209862395.7512
617.0	230659489.8506	-2325712199.0003
618.0	310183598.2432	20603674807.3095
619.0	211079405.4800	7137480076.2613
620.0	196360525.3741	-1485898469.9691
621.0	231406610.2946	10054587015.4696
622.0	335525466.5394	17613265128.9852
623.0	175355348.3821	-3943090365.5163
624.0	311615010.2976	13026581324.3896
625.0	328926924.2777	32177860199.1072
626.0	167810163.6675	-5915152814.7134
627.0	254855323.4926	8764644580.7550
628.0	223746048.4066	14046055697.8521
629.0	194529884.9834	2041494302.8602
630.0	229635759.7167	3262048355.6622
631.0	196916413.1200	10883934881.7273
632.0	136688699.7971	-5594099789.0285
633.0	166963842.5067	-1372160908.7216
634.0	192760907.8756	11225770844.7503
635.0	205989663.4739	7755300906.3010
636.0	166175504.6967	-5712984830.1098
637.0	164210524.0422	7764432944.6431
638.0	210239365.9890	19002256737.0718
639.0	153059384.0870	-2202490285.1755
640.0	210001134.5329	6159126601.3578
641.0	142501545.8170	2971572712.1640
642.0	144570795.4841	-3064414769.6538
643.0	173846814.7811	180963970.6491
644.0	135375776.2131	6852932154.7223
645.0	147958349.8274	-3479086375.4655
646.0	190011453.5678	-6474214221.5611
647.0	278556192.2675	29253581952.6036
648.0	185452903.6143	13512243175.3614
649.0	234327687.1776	-17979820005.4722
650.0	280125081.2653	20058912661.3526
651.0	181050190.8195	8190664927.3111
652.0	196237383.0638	-8241131938.7939
653.0	203606383.1214	8502561189.2333
654.0	180706469.4522	11289833420.1934
655.0	199125469.2738	-15799196696.8158
656.0	190789536.9676	4108456647.4662
657.0	148113893.5644	5231660796.8261
658.0	165347845.0973	-5436962225.2057
659.0	231778622.8206	-473280997.0765
660.0	230084332.6034	12955451395.5212
661.0	190899047.9755	-19799104102.3658
662.0	298306163.1617	-18621623490.4882
663.0	318236057.6503	23982252840.9016
664.0	155264603.7965	-2108284667.1948
665.0	309676148.4604	-22194868863.0158
666.0	232140057.5139	14313631312.8858
667.0	155116552.3084	52480983.5379
668.0	255593016.0357	-16512597197.1996
669.0	283186162.8361	8507876545.5861
670.0	200476299.2011	10460320025.7215
671.0	203319669.1691	-18145622084.4157
672.0	194658070.9280	3743513144.8658
673.0	219483325.5223	15445393051.0650
674.0	224754222.1430	-20720867158.4880
675.0	251483706.8359	-4744925826.1068
676.0	212233660.4809	12956647829.7901
677.0	219206944.5380	-23674813020.1307
678.0	290222705.8613	-9398261162.6596
679.0	302752737.1439	18590980835.6896
680.0	212051501.6579	-8828936031.3142
681.0	310179529.4072	-28576825098.8060
682.0	254867138.1066	9285699233.2222
683.0	202200166.8887	-848301485.8819
684.0	291139213.7551	-25167752672.8937
685.0	385050027.4988	11284186639.6195
686.0	181503834.6785	4287493426.8220
687.0	267861182.8213	-28874330182.5610
688.0	385258340.8782	4247206416.7418
689.0	198682116.2190	5558673312.4348
690.0	195770929.0628	-13482093911.1190
691.0	373681398.0425	-12891409355.0473
692.0	268446955.9105	19183277691.2147
693.0	209316977.7110	-7715669519.5738
694.0	298274587.7825	-16165428333.2405
695.0	270364821.1019	10750838404.9687
696.0	185774941.4261	-10192913941.4674
697.0	268569394.9659	-16457157708.3998
698.0	443517493.8649	16948707589.3006
699.0	200486704.6378	-1306820514.6748
700.0	250135330.9074	-15521850424.1123
701.0	295024941.8796	3978248772.4489
702.0	246025673.6102	12333185759.6139
703.0	380863301.4735	-36757794377.6384
704.0	548654520.0732	-4450170468.0944
705.0	230612493.8289	10693604054.4348
706.0	262218398.3758	-15459226397.2513
707.0	399015090.5406	-10771716728.0786
708.0	355303002.9357	17631176187.8277
709.0	321844620.4267	-19608152944.2755
710.0	378204966.4717	-26089487450.5757
711.0	298378956.5081	8650980836.3479
712.0	241604690.5484	-15515427700.6271
713.0	414356485.8367	-34620897077.3475
714.0	379458915.5732	8230568921.7418
715.0	271559975.4414	-6925510242.6386
716.0	442293273.5905	-37236184850.9042
717.0	410624405.1237	352094750.0317
718.0	279184178.5442	1868172692.8605
719.0	315474217.8087	-16330251753.7052
720.0	402652473.1776	-5379273830.9217
721.0	329543630.5327	9087928444.6817
722.0	337361479.1038	-20802235062.0726
723.0	530273125.8256	-10993301876.5507
724.0	389245405.4969	16367244452.3988
725.0	354994643.8408	-20904248415.3587
726.0	708493272.7535	-43125907766.6437
